Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 -1.63524 0.75402 8.48263 0.251645 0.264272 0.919049 -0.148944;
 -1.46326 0.554295 8.48554 0.253899 0.263473 0.918015 -0.152856;
 -1.28927 0.328138 8.4945 0.114363 0.131724 0.969214 -0.173765;
 -1.09396 0.0816323 8.5289 0.0611973 0.174291 0.969431 -0.161499;
 -0.979591 -0.0618293 8.53571 0.108156 0.224181 0.954102 -0.166539;
 -0.767229 -0.299571 8.53967 0.12486 0.279802 0.936464 -0.170749;
 -0.525933 -0.543235 8.54581 0.0936019 0.321339 0.928646 -0.159987;
 -0.261744 -0.770882 8.54826 0.0375722 0.346747 0.927088 -0.137341;
 -0.064176 -0.913698 8.54886 0.0120716 0.356726 0.925501 -0.126687;
 0.267161 -1.11283 8.5485 -0.00691699 0.363542 0.923947 -0.118792;
 0.544216 -1.25191 8.5466 -0.0617221 0.300816 0.945586 -0.107555;
 0.916403 -1.41286 8.52116 -0.168837 0.221961 0.953935 -0.110612;
 1.19455 -1.52994 8.46791 -0.241117 0.158582 0.95254 -0.0968609;
 1.53405 -1.61983 8.41726 -0.210338 -0.0421179 0.974404 -0.0672324;
 1.83317 -1.65272 8.4073 -0.149302 -0.2112 0.964204 -0.0584381;
 2.01509 -1.63482 8.42532 -0.140209 -0.276619 0.948875 -0.0588208;
 2.11656 -1.60996 8.43348 -0.0585331 -0.282381 0.957019 -0.0308144;
 2.203 -1.57363 8.44713 -0.10488 -0.280736 0.952813 -0.0483227;
 2.23902 -1.52031 8.4523 -0.0348525 -0.226694 0.972751 -0.0339303;
 2.2321 -1.46759 8.47769 -0.138515 -0.240956 0.95883 -0.0583025;
 2.18728 -1.39534 8.48042 -0.206031 -0.188072 0.956441 -0.0860299;
 2.14876 -1.32759 8.48005 -0.0902337 -0.152941 0.981128 -0.0765141;
 2.0521 -1.20741 8.50215 -0.161711 -0.204565 0.96218 -0.078816;
 1.95389 -1.0915 8.51188 -0.189918 -0.148231 0.964886 -0.104665;
 1.82217 -0.942426 8.53801 -0.0762092 -0.168959 0.978099 -0.0946936;
 1.72592 -0.836585 8.5469 -0.130755 -0.203399 0.964748 -0.103888;
 1.57482 -0.683765 8.54777 -0.202762 -0.223861 0.945095 -0.124775;
 1.38585 -0.484729 8.55209 -0.244725 -0.233712 0.930791 -0.138263;
 1.17328 -0.242792 8.5494 -0.266057 -0.231833 0.923966 -0.147492;
 1.03403 -0.0708112 8.5484 -0.284935 -0.212261 0.922218 -0.152548;
